TimeStamp(ms), index, UPS, TimeStamp(ms), index, DNS
27778, 0, 1, 27832, 0, 0
27778, 1, 9, 27832, 1, -3
27778, 2, -33, 27832, 2, -48
27778, 3, -121, 27832, 3, -130
27778, 4, -29, 27832, 4, -39
27778, 5, 141, 27832, 5, 139
27778, 6, 95, 27832, 6, 97
27778, 7, -73, 27832, 7, -77
27778, 8, -58, 27832, 8, -62
27778, 9, 102, 27832, 9, 97
27778, 10, 114, 27832, 10, 111
27778, 11, -35, 27832, 11, -34
27778, 12, -62, 27832, 12, -62
27778, 13, 64, 27832, 13, 61
27778, 14, 103, 27832, 14, 105
27778, 15, -11, 27832, 15, -15
27778, 16, -70, 27832, 16, -71
27778, 17, 24, 27832, 17, 24
27778, 18, 81, 27832, 18, 80
27778, 19, 0, 27832, 19, 6
27778, 20, -50, 27832, 20, -50
27778, 21, 19, 27832, 21, 17
27778, 22, 68, 27832, 22, 71
27778, 23, -4, 27832, 23, -6
27778, 24, -75, 27832, 24, -70
27778, 25, 23, 27832, 25, 19
27778, 26, 101, 27832, 26, 105
27778, 27, -27, 27832, 27, -21
27778, 28, -114, 27832, 28, -107
27778, 29, 73, 27832, 29, 79
27778, 30, 146, 27832, 30, 151
27778, 31, -119, 27832, 31, -121
27778, 32, -209, 27832, 32, -210
27778, 33, 127, 27832, 33, 126
27778, 34, 250, 27832, 34, 247
27778, 35, -134, 27832, 35, -132
27778, 36, -312, 27832, 36, -310
27778, 37, 100, 27832, 37, 97
27778, 38, 360, 27832, 38, 354
27778, 39, -59, 27832, 39, -58
27778, 40, -410, 27832, 40, -410
27778, 41, -20, 27832, 41, -15
27778, 42, 425, 27832, 42, 424
27778, 43, 89, 27832, 43, 90
27778, 44, -437, 27832, 44, -436
27778, 45, -186, 27832, 45, -183
27778, 46, 398, 27832, 46, 404
27778, 47, 250, 27832, 47, 250
27778, 48, -371, 27832, 48, -376
27778, 49, -344, 27832, 49, -346
27778, 50, 298, 27832, 50, 299
27778, 51, 408, 27832, 51, 406
27778, 52, -227, 27832, 52, -224
27778, 53, -481, 27832, 53, -480
27778, 54, 118, 27832, 54, 118
27778, 55, 524, 27832, 55, 518
27778, 56, -1, 27832, 56, -8
27778, 57, -546, 27832, 57, -546
27778, 58, -143, 27832, 58, -141
27778, 59, 512, 27832, 59, 511
27778, 60, 249, 27832, 60, 241
27778, 61, -493, 27832, 61, -501
27778, 62, -403, 27832, 62, -402
27778, 63, 394, 27832, 63, 399
27778, 64, 494, 27832, 64, 492
27778, 65, -315, 27832, 65, -325
27778, 66, -611, 27832, 66, -616
27778, 67, 163, 27832, 67, 166
27778, 68, 647, 27832, 68, 648
27778, 69, -36, 27832, 69, -42
27778, 70, -678, 27832, 70, -681
27778, 71, -126, 27832, 71, -125
27778, 72, 648, 27832, 72, 644
27778, 73, 255, 27832, 73, 244
27778, 74, -610, 27832, 74, -619
27778, 75, -417, 27832, 75, -411
27778, 76, 499, 27832, 76, 500
27778, 77, 505, 27832, 77, 497
27778, 78, -404, 27832, 78, -413
