TimeStamp(ms), index, UPS, TimeStamp(ms), index, DNS
73861, 79, 420, 73879, 79, 415
73861, 80, 374, 73879, 80, 366
73861, 81, -375, 73879, 81, -381
73861, 82, -516, 73879, 82, -521
73861, 83, 231, 73879, 83, 225
73861, 84, 564, 73879, 84, 558
73861, 85, -139, 73879, 85, -144
73861, 86, -662, 73879, 86, -667
73861, 87, -46, 73879, 87, -52
73861, 88, 644, 73879, 88, 639
73861, 89, 166, 73879, 89, 159
73861, 90, -646, 73879, 90, -652
73861, 91, -329, 73879, 91, -332
73861, 92, 532, 73879, 92, 526
73861, 93, 361, 73879, 93, 355
73861, 94, -475, 73879, 94, -477
73861, 95, -414, 73879, 95, -419
73861, 96, 340, 73879, 96, 334
73861, 97, 377, 73879, 97, 372
73861, 98, -258, 73879, 98, -264
73861, 99, -394, 73879, 99, -398
73861, 100, 101, 73879, 100, 96
73861, 101, 313, 73879, 101, 308
73861, 102, -37, 73879, 102, -42
73861, 103, -298, 73879, 103, -301
73861, 104, -84, 73879, 104, -88
73861, 105, 201, 73879, 105, 194
73861, 106, 107, 73879, 106, 100
73861, 107, -182, 73879, 107, -188
73861, 108, -198, 73879, 108, -202
73861, 109, 79, 73879, 109, 74
73861, 110, 193, 73879, 110, 188
73861, 111, -50, 73879, 111, -53
73861, 112, -246, 73879, 112, -252
73861, 113, -63, 73879, 113, -65
73861, 114, 201, 73879, 114, 197
73861, 115, 83, 73879, 115, 80
73861, 116, -201, 73879, 116, -203
73861, 117, -145, 73879, 117, -152
73861, 118, 125, 73879, 118, 122
73861, 119, 110, 73879, 119, 108
73861, 120, -135, 73879, 120, -139
73861, 121, -153, 73879, 121, -156
73861, 122, 56, 73879, 122, 54
73861, 123, 101, 73879, 123, 95
73861, 124, -66, 73879, 124, -69
73861, 125, -119, 73879, 125, -119
73861, 126, 1, 73879, 126, -4
73861, 127, 51, 73879, 127, 50
73861, 128, -22, 73879, 128, -24
73861, 129, -58, 73879, 129, -60
73861, 130, -14, 73879, 130, -15
73861, 131, -5, 73879, 131, -9
73861, 132, -33, 73879, 132, -32
73861, 133, -32, 73879, 133, -35
73861, 134, -14, 73879, 134, -16
73861, 135, -19, 73879, 135, -20
73861, 136, -13, 73879, 136, -18
73861, 137, -10, 73879, 137, -7
73861, 138, -28, 73879, 138, -34
73861, 139, -51, 73879, 139, -52
73861, 140, -8, 73879, 140, -9
73861, 141, 3, 73879, 141, 0
73861, 142, -38, 73879, 142, -37
73861, 143, -40, 73879, 143, -42
73861, 144, 13, 73879, 144, 10
73861, 145, 6, 73879, 145, 6
73861, 146, -51, 73879, 146, -53
73861, 147, -50, 73879, 147, -50
73861, 148, 14, 73879, 148, 8
73861, 149, 6, 73879, 149, 7
73861, 150, -43, 73879, 150, -46
73861, 151, -50, 73879, 151, -51
73861, 152, -9, 73879, 152, -10
73861, 153, 3, 73879, 153, 0
73861, 154, -27, 73879, 154, -28
73861, 155, -39, 73879, 155, -39
73861, 156, -8, 73879, 156, -11
73861, 157, 2, 73879, 157, -1
73861, 158, -22, 73879, 158, -20
73861, 159, -38, 73879, 159, -43
