TimeStamp(ms), index, UPS, TimeStamp(ms), index, DNS
73861, 0, 0, 73879, 0, -1
73861, 1, 1, 73879, 1, -21
73861, 2, 15, 73879, 2, -48
73861, 3, 7, 73879, 3, -20
73861, 4, -11, 73879, 4, -12
73861, 5, -5, 73879, 5, -9
73861, 6, -11, 73879, 6, -9
73861, 7, -10, 73879, 7, -10
73861, 8, -10, 73879, 8, -9
73861, 9, -11, 73879, 9, -12
73861, 10, -7, 73879, 10, -10
73861, 11, -14, 73879, 11, -11
73861, 12, -10, 73879, 12, -13
73861, 13, -13, 73879, 13, -12
73861, 14, -10, 73879, 14, -15
73861, 15, -15, 73879, 15, -14
73861, 16, -9, 73879, 16, -14
73861, 17, -14, 73879, 17, -14
73861, 18, -13, 73879, 18, -16
73861, 19, -10, 73879, 19, -17
73861, 20, -18, 73879, 20, -12
73861, 21, -12, 73879, 21, -18
73861, 22, -17, 73879, 22, -17
73861, 23, -14, 73879, 23, -19
73861, 24, -16, 73879, 24, -16
73861, 25, -15, 73879, 25, -18
73861, 26, -16, 73879, 26, -20
73861, 27, -17, 73879, 27, -19
73861, 28, -15, 73879, 28, -15
73861, 29, -17, 73879, 29, -23
73861, 30, -15, 73879, 30, -15
73861, 31, -16, 73879, 31, -20
73861, 32, -17, 73879, 32, -19
73861, 33, -17, 73879, 33, -21
73861, 34, -16, 73879, 34, -19
73861, 35, -18, 73879, 35, -20
73861, 36, -17, 73879, 36, -20
73861, 37, -18, 73879, 37, -22
73861, 38, -17, 73879, 38, -22
73861, 39, -19, 73879, 39, -23
73861, 40, -15, 73879, 40, -19
73861, 41, -14, 73879, 41, -22
73861, 42, -17, 73879, 42, -23
73861, 43, -17, 73879, 43, -20
73861, 44, -15, 73879, 44, -21
73861, 45, -14, 73879, 45, -19
73861, 46, -21, 73879, 46, -25
73861, 47, -25, 73879, 47, -28
73861, 48, -29, 73879, 48, -32
73861, 49, 7, 73879, 49, 4
73861, 50, 45, 73879, 50, 42
73861, 51, -57, 73879, 51, -60
73861, 52, -158, 73879, 52, -161
73861, 53, 13, 73879, 53, 6
73861, 54, 202, 73879, 54, 201
73861, 55, -32, 73879, 55, -39
73861, 56, -308, 73879, 56, -310
73861, 57, -38, 73879, 57, -44
73861, 58, 316, 73879, 58, 314
73861, 59, 50, 73879, 59, 45
73861, 60, -385, 73879, 60, -389
73861, 61, -147, 73879, 61, -149
73861, 62, 364, 73879, 62, 359
73861, 63, 186, 73879, 63, 183
73861, 64, -385, 73879, 64, -388
73861, 65, -293, 73879, 65, -298
73861, 66, 319, 73879, 66, 313
73861, 67, 330, 73879, 67, 324
73861, 68, -297, 73879, 68, -303
73861, 69, -426, 73879, 69, -430
73861, 70, 183, 73879, 70, 179
73861, 71, 430, 73879, 71, 424
73861, 72, -137, 73879, 72, -142
73861, 73, -507, 73879, 73, -512
73861, 74, -19, 73879, 74, -22
73861, 75, 488, 73879, 75, 477
73861, 76, 115, 73879, 76, 110
73861, 77, -503, 73879, 77, -508
73861, 78, -284, 73879, 78, -289
