TimeStamp(ms), index, UPS, TimeStamp(ms), index, DNS
10756806, 0, 0, 10756818, 0, -2
10756806, 1, -3, 10756818, 1, -21
10756806, 2, -19, 10756818, 2, -35
10756806, 3, -16, 10756818, 3, -12
10756806, 4, -4, 10756818, 4, -7
10756806, 5, -8, 10756818, 5, -6
10756806, 6, -13, 10756818, 6, -13
10756806, 7, -19, 10756818, 7, -20
10756806, 8, -22, 10756818, 8, -19
10756806, 9, 15, 10756818, 9, 16
10756806, 10, 50, 10756818, 10, 51
10756806, 11, -48, 10756818, 11, -46
10756806, 12, -161, 10756818, 12, -159
10756806, 13, 7, 10756818, 13, 9
10756806, 14, 212, 10756818, 14, 215
10756806, 15, -14, 10756818, 15, -13
10756806, 16, -314, 10756818, 16, -314
10756806, 17, -58, 10756818, 17, -55
10756806, 18, 331, 10756818, 18, 332
10756806, 19, 76, 10756818, 19, 78
10756806, 20, -394, 10756818, 20, -388
10756806, 21, -175, 10756818, 21, -174
10756806, 22, 369, 10756818, 22, 371
10756806, 23, 218, 10756818, 23, 220
10756806, 24, -381, 10756818, 24, -380
10756806, 25, -329, 10756818, 25, -324
10756806, 26, 308, 10756818, 26, 310
10756806, 27, 362, 10756818, 27, 363
10756806, 28, -283, 10756818, 28, -281
10756806, 29, -458, 10756818, 29, -456
10756806, 30, 161, 10756818, 30, 163
10756806, 31, 456, 10756818, 31, 456
10756806, 32, -110, 10756818, 32, -107
10756806, 33, -531, 10756818, 33, -527
10756806, 34, -54, 10756818, 34, -52
10756806, 35, 499, 10756818, 35, 501
10756806, 36, 150, 10756818, 36, 153
10756806, 37, -513, 10756818, 37, -511
10756806, 38, -330, 10756818, 38, -327
10756806, 39, 415, 10756818, 39, 415
10756806, 40, 414, 10756818, 40, 415
10756806, 41, -362, 10756818, 41, -361
10756806, 42, -565, 10756818, 42, -562
10756806, 43, 198, 10756818, 43, 202
10756806, 44, 599, 10756818, 44, 601
10756806, 45, -103, 10756818, 45, -104
10756806, 46, -696, 10756818, 46, -696
10756806, 47, -101, 10756818, 47, -100
10756806, 48, 661, 10756818, 48, 663
10756806, 49, 220, 10756818, 49, 222
10756806, 50, -659, 10756818, 50, -656
10756806, 51, -394, 10756818, 51, -389
10756806, 52, 527, 10756818, 52, 524
10756806, 53, 415, 10756818, 53, 416
10756806, 54, -464, 10756818, 54, -464
10756806, 55, -472, 10756818, 55, -468
10756806, 56, 319, 10756818, 56, 320
10756806, 57, 418, 10756818, 57, 419
10756806, 58, -238, 10756818, 58, -238
10756806, 59, -432, 10756818, 59, -430
10756806, 60, 71, 10756818, 60, 72
10756806, 61, 333, 10756818, 61, 333
10756806, 62, -11, 10756818, 62, -11
10756806, 63, -312, 10756818, 63, -311
10756806, 64, -117, 10756818, 64, -115
10756806, 65, 203, 10756818, 65, 201
10756806, 66, 131, 10756818, 66, 134
10756806, 67, -180, 10756818, 67, -178
10756806, 68, -227, 10756818, 68, -225
10756806, 69, 63, 10756818, 69, 64
10756806, 70, 210, 10756818, 70, 212
10756806, 71, -35, 10756818, 71, -33
10756806, 72, -266, 10756818, 72, -263
10756806, 73, -88, 10756818, 73, -86
10756806, 74, 206, 10756818, 74, 209
10756806, 75, 105, 10756818, 75, 106
10756806, 76, -205, 10756818, 76, -206
10756806, 77, -173, 10756818, 77, -168
10756806, 78, 125, 10756818, 78, 124
10756806, 79, 133, 10756818, 79, 134
10756806, 80, -132, 10756818, 80, -129
10756806, 81, -173, 10756818, 81, -174
10756806, 82, 46, 10756818, 82, 46
10756806, 83, 114, 10756818, 83, 116
10756806, 84, -57, 10756818, 84, -55
10756806, 85, -128, 10756818, 85, -129
10756806, 86, -12, 10756818, 86, -11
10756806, 87, 57, 10756818, 87, 57
10756806, 88, -15, 10756818, 88, -15
10756806, 89, -60, 10756818, 89, -59
10756806, 90, -25, 10756818, 90, -19
10756806, 91, -2, 10756818, 91, -6
10756806, 92, -31, 10756818, 92, -24
10756806, 93, -29, 10756818, 93, -33
10756806, 94, -20, 10756818, 94, -16
10756806, 95, -19, 10756818, 95, -21
10756806, 96, -14, 10756818, 96, -11
10756806, 97, -6, 10756818, 97, -3
10756806, 98, -29, 10756818, 98, -32
10756806, 99, -53, 10756818, 99, -50
10756806, 100, -13, 10756818, 100, -12
10756806, 101, 7, 10756818, 101, 7
10756806, 102, -33, 10756818, 102, -34
10756806, 103, -46, 10756818, 103, -45
10756806, 104, 10, 10756818, 104, 8
10756806, 105, 8, 10756818, 105, 9
10756806, 106, -52, 10756818, 106, -52
10756806, 107, -52, 10756818, 107, -51
10756806, 108, 9, 10756818, 108, 7
10756806, 109, 10, 10756818, 109, 10
10756806, 110, -44, 10756818, 110, -43
10756806, 111, -55, 10756818, 111, -51
10756806, 112, -7, 10756818, 112, -12
10756806, 113, 3, 10756818, 113, 4
10756806, 114, -29, 10756818, 114, -30
10756806, 115, -41, 10756818, 115, -39
10756806, 116, -14, 10756818, 116, -15
10756806, 117, -1, 10756818, 117, 4
10756806, 118, -14, 10756818, 118, -19
10756806, 119, -43, 10756818, 119, -39
