TimeStamp(ms), Command ID, Data
5025, Absolute TOF DNS, 0.00001901935320347548
5026, Volume Flow Rate, 0.41839599609375000000
5027, Debug, 0.00000000000000000000
5029, Adv. Debug (4), 0.41839599609375000000
5273, Delta TOF, -0.00000000003410605132
5274, Absolute TOF UPS, 0.00001901605719467625
5275, Absolute TOF DNS, 0.00001902398435049690
5276, Volume Flow Rate, -1.20118713378906250000
5277, Debug, 0.00000000000000000000
5278, Adv. Debug (4), -1.20118713378906250000
5523, Delta TOF, 0.00000000001102762326
5524, Absolute TOF UPS, 0.00001902392068586778
5525, Absolute TOF DNS, 0.00001902438452816568
5526, Volume Flow Rate, 0.38807678222656250000
5527, Debug, 0.00000000000000000000
5528, Adv. Debug (4), 0.38807678222656250000
5774, Delta TOF, -0.00000000001301714292
5774, Absolute TOF UPS, 0.00001902195617731195
5775, Absolute TOF DNS, 0.00001902057010738645
5776, Volume Flow Rate, -0.45826721191406250000
5777, Debug, 0.00000000000000000000
5778, Adv. Debug (4), -0.45826721191406250000
6023, Delta TOF, 0.00000000001028865881
6024, Absolute TOF UPS, 0.00001902196345326956
6025, Absolute TOF DNS, 0.00001901817449834198
6026, Volume Flow Rate, 0.36221313476562500000
6027, Debug, 0.00000000000000000000
6028, Adv. Debug (4), 0.36221313476562500000
6273, Delta TOF, -0.00000000002472688720
6274, Absolute TOF UPS, 0.00001901675568660721
6275, Absolute TOF DNS, 0.00001902380972751416
6276, Volume Flow Rate, -0.87084960937500000000
6277, Debug, 0.00000000000000000000
6278, Adv. Debug (4), -0.87084960937500000000
6524, Delta TOF, -0.00000000001330136001
6524, Absolute TOF UPS, 0.00001902398435049690
6525, Absolute TOF DNS, 0.00001901689756778069
6527, Volume Flow Rate, -0.46838378906250000000
6528, Debug, 0.00000000000000000000
6528, Adv. Debug (4), -0.46838378906250000000
6773, Delta TOF, -0.00000000002557953849
6774, Absolute TOF UPS, 0.00001902064650494140
6775, Absolute TOF DNS, 0.00001902303120004945
6776, Volume Flow Rate, -0.90078735351562500000
6777, Debug, 0.00000000000000000000
6778, Adv. Debug (4), -0.90078735351562500000
7023, Delta TOF, -0.00000000002427213985
7024, Absolute TOF UPS, 0.00001902238182083238
7025, Absolute TOF DNS, 0.00001902053190860897
7026, Volume Flow Rate, -0.85470581054687500000
7027, Debug, 0.00000000000000000000
7028, Adv. Debug (4), -0.85470581054687500000
7274, Delta TOF, -0.00000000002302158464
7275, Absolute TOF UPS, 0.00001902298936329316
7276, Absolute TOF DNS, 0.00001902341682580300
7277, Volume Flow Rate, -0.81057739257812500000
7277, Debug, 0.00000000000000000000
7279, Adv. Debug (4), -0.81057739257812500000
7523, Delta TOF, -0.00000000000204636308
7524, Absolute TOF UPS, 0.00001901648829516489
7525, Absolute TOF DNS, 0.00001902068834169768
7526, Volume Flow Rate, -0.07194519042968750000
7527, Debug, 0.00000000000000000000
7528, Adv. Debug (4), -0.07194519042968750000
7773, Delta TOF, 0.00000000001949729267
7774, Absolute TOF UPS, 0.00001902060466818512
7775, Absolute TOF DNS, 0.00001902340045489837
7776, Volume Flow Rate, 0.68652343750000000000
7777, Debug, 0.00000000000000000000
7778, Adv. Debug (4), 0.68652343750000000000
8024, Delta TOF, -0.00000000003279865268
8024, Absolute TOF UPS, 0.00001902341682580300
8025, Absolute TOF DNS, 0.00001902484655147418
8026, Volume Flow Rate, -1.15470886230468750000
8027, Debug, 0.00000000000000000000
8028, Adv. Debug (4), -1.15470886230468750000
8273, Delta TOF, -0.00000000000346744855
8274, Absolute TOF UPS, 0.00001902396252262406
8275, Absolute TOF DNS, 0.00001902195617731195
8276, Volume Flow Rate, -0.12191772460937500000
8277, Debug, 0.00000000000000000000
8278, Adv. Debug (4), -0.12191772460937500000
8524, Delta TOF, -0.00000000001534772309
8525, Absolute TOF UPS, 0.00001901828545669559
8526, Absolute TOF DNS, 0.00001902068834169768
8527, Volume Flow Rate, -0.54051208496093750000
8528, Debug, 0.00000000000000000000
8529, Adv. Debug (4), -0.54051208496093750000
8774, Delta TOF, -0.00000000002324895831
8775, Absolute TOF UPS, 0.00001901817449834198
8776, Absolute TOF DNS, 0.00001902443545986898
8777, Volume Flow Rate, -0.81874084472656250000
8778, Debug, 0.00000000000000000000
8779, Adv. Debug (4), -0.81874084472656250000
9024, Delta TOF, -0.00000000000551381163
9025, Absolute TOF UPS, 0.00001902300027722959
9026, Absolute TOF DNS, 0.00001902053190860897
9027, Volume Flow Rate, -0.19404602050781250000
9028, Debug, 0.00000000000000000000
9029, Adv. Debug (4), -0.19404602050781250000
9275, Delta TOF, -0.00000000001506350600
9276, Absolute TOF UPS, 0.00001902057010738645
9277, Absolute TOF DNS, 0.00001901933137560263
9278, Volume Flow Rate, -0.53041076660156250000
9279, Debug, 0.00000000000000000000
9280, Adv. Debug (4), -0.53041076660156250000
9524, Delta TOF, -0.00000000001477928890
9525, Absolute TOF UPS, 0.00001902337135106791
9526, Absolute TOF DNS, 0.00001901933137560263
9527, Volume Flow Rate, -0.52049255371093750000
9528, Debug, 0.00000000000000000000
9529, Adv. Debug (4), -0.52049255371093750000
9774, Delta TOF, -0.00000000000972022463
9775, Absolute TOF UPS, 0.00001902297844935674
9776, Absolute TOF DNS, 0.00001901955147332046
9777, Volume Flow Rate, -0.34219360351562500000
9778, Debug, 0.00000000000000000000
9779, Adv. Debug (4), -0.34219360351562500000
10025, Delta TOF, -0.00000000002125943865
10026, Absolute TOF UPS, 0.00001901331961562391
10027, Absolute TOF DNS, 0.00001902300027722959
10028, Volume Flow Rate, -0.74894714355468750000
10029, Debug, 0.00000000000000000000
10030, Adv. Debug (4), -0.74894714355468750000
10274, Delta TOF, -0.00000000000619593266
10275, Absolute TOF UPS, 0.00001901253745018039
10276, Absolute TOF DNS, 0.00001902053190860897
10277, Volume Flow Rate, -0.21815490722656250000
10278, Debug, 0.00000000000000000000
10279, Adv. Debug (4), -0.21815490722656250000
10524, Delta TOF, -0.00000000001250555215
10525, Absolute TOF UPS, 0.00001901947507576551
10526, Absolute TOF DNS, 0.00001902297844935674
10527, Volume Flow Rate, -0.44038391113281250000
10528, Debug, 0.00000000000000000000
10529, Adv. Debug (4), -0.44038391113281250000
10775, Delta TOF, -0.00000000003336708687
10776, Absolute TOF UPS, 0.00001902300755318720
10777, Absolute TOF DNS, 0.00001901947507576551
10778, Volume Flow Rate, -1.17492675781250000000
10779, Debug, 0.00000000000000000000
10780, Adv. Debug (4), -1.17492675781250000000
11024, Delta TOF, 0.00000000002063416105
11025, Absolute TOF UPS, 0.00001901935320347548
11026, Absolute TOF DNS, 0.00001901933137560263
11027, Volume Flow Rate, 0.72676086425781250000
11028, Debug, 0.00000000000000000000
11029, Adv. Debug (4), 0.72676086425781250000
11274, Delta TOF, 0.00000000000000000000
11275, Absolute TOF UPS, 0.00001902348049043212
11276, Absolute TOF DNS, 0.00001901421819638927
11277, Volume Flow Rate, 0.00000000000000000000
11278, Debug, 0.00000000000000000000
11279, Adv. Debug (4), 0.00000000000000000000
11525, Delta TOF, -0.00000000005621814125
11526, Absolute TOF UPS, 0.00001902300027722959
11527, Absolute TOF DNS, 0.00001902196345326956
11528, Volume Flow Rate, -1.97947692871093750000
11529, Debug, 0.00000000000000000000
11530, Adv. Debug (4), -1.97947692871093750000
11774, Delta TOF, -0.00000000000164845915
11775, Absolute TOF UPS, 0.00001902064650494140
11776, Absolute TOF DNS, 0.00001901784708024934
11777, Volume Flow Rate, -0.05795288085937500000
11778, Debug, 0.00000000000000000000
11779, Adv. Debug (4), -0.05795288085937500000
12024, Delta TOF, 0.00000000000773070497
12025, Absolute TOF UPS, 0.00001901305950013921
12026, Absolute TOF DNS, 0.00001902300755318720
12027, Volume Flow Rate, 0.27218627929687500000
12028, Debug, 0.00000000000000000000
12029, Adv. Debug (4), 0.27218627929687500000
12275, Delta TOF, -0.00000000000568434189
12276, Absolute TOF UPS, 0.00001902060466818512
12277, Absolute TOF DNS, 0.00001902068834169768
12278, Volume Flow Rate, -0.20007324218750000000
12279, Debug, 0.00000000000000000000
12280, Adv. Debug (4), -0.20007324218750000000
12524, Delta TOF, -0.00000000001477928890
12525, Absolute TOF UPS, 0.00001902195981529076
12526, Absolute TOF DNS, 0.00001902195981529076
12527, Volume Flow Rate, -0.52029418945312500000
12528, Debug, 0.00000000000000000000
12529, Adv. Debug (4), -0.52029418945312500000
12774, Delta TOF, -0.00000000000403588274
12775, Absolute TOF UPS, 0.00001902064286696259
12776, Absolute TOF DNS, 0.00001902195981529076
12777, Volume Flow Rate, -0.14213562011718750000
12778, Debug, 0.00000000000000000000
12779, Adv. Debug (4), -0.14213562011718750000
13025, Delta TOF, -0.00000000000716227078
13026, Absolute TOF UPS, 0.00001902195981529076
13027, Absolute TOF DNS, 0.00001901917494251393
13028, Volume Flow Rate, -0.25218200683593750000
13029, Debug, 0.00000000000000000000
13030, Adv. Debug (4), -0.25218200683593750000
13274, Delta TOF, -0.00000000000022737368
13275, Absolute TOF UPS, 0.00001902195981529076
13276, Absolute TOF DNS, 0.00001902341682580300
13277, Volume Flow Rate, -0.00798034667968750000
13278, Debug, 0.00000000000000000000
13279, Adv. Debug (4), -0.00798034667968750000
13524, Delta TOF, -0.00000000001028865881
13525, Absolute TOF UPS, 0.00001902195981529076
13526, Absolute TOF DNS, 0.00001902383155538701
13527, Volume Flow Rate, -0.36222839355468750000
13528, Debug, 0.00000000000000000000
13529, Adv. Debug (4), -0.36222839355468750000
13775, Delta TOF, -0.00000000000625277607
13776, Absolute TOF UPS, 0.00001902195617731195
13777, Absolute TOF DNS, 0.00001902060466818512
13778, Volume Flow Rate, -0.22009277343750000000
13779, Debug, 0.00000000000000000000
13780, Adv. Debug (4), -0.22009277343750000000
14024, Delta TOF, 0.00000000001097077984
14025, Absolute TOF UPS, 0.00001901925134006888
14026, Absolute TOF DNS, 0.00001902196345326956
14027, Volume Flow Rate, 0.38632202148437500000
14028, Debug, 0.00000000000000000000
14029, Adv. Debug (4), 0.38632202148437500000
14275, Delta TOF, 0.00000000000920863386
14276, Absolute TOF UPS, 0.00001902195981529076
14277, Absolute TOF DNS, 0.00001902383155538701
14278, Volume Flow Rate, 0.32409667968750000000
14279, Debug, 0.00000000000000000000
14280, Adv. Debug (4), 0.32409667968750000000
14524, Delta TOF, -0.00000000005860556485
14525, Absolute TOF UPS, 0.00001902338590298314
14526, Absolute TOF DNS, 0.00001902060466818512
14527, Volume Flow Rate, -2.06365966796875000000
14528, Debug, 0.00000000000000000000
